nyc_zone_id,nyc_tier,casa_zone_id,casa_zone_name,casa_ae_class,weight,rationale
23,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
23,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
23,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
23,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
128,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
128,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
128,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
128,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
153,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
153,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
153,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
153,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
31,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
31,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
31,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
31,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
120,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
120,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
120,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
120,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
183,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
183,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
183,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
183,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
96,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
96,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
96,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
96,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
240,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
240,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
240,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
240,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
5,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
5,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
5,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
5,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
207,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
207,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
207,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
207,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
58,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
58,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
58,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
58,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
44,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
44,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
44,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
44,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
118,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
118,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
118,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
118,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
46,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
46,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
46,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
46,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
214,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
214,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
214,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
214,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
206,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
206,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
206,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
206,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
221,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
221,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
221,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
221,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
8,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
8,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
